,phrase,label
0,привет мужик секрет скорострелый любовь каждый секрет полова мочь поделиться скорострелый подслушать,0
1,голый правда женский удалёнка факт ирина год девчонка надоесть слушать сказка удалённый работа черта месяц развод бывший домохозяйка правдивый факт женский удалёнка рассказать онлайн курс кардинально изменить работать машина пока ждать сын бассейн ловить сердечный приступ кабинет косметолог ловить писать заказчик сжечь еда поставить готовить плита село поработать «на минут» стабильно неделя совмещать приятный полезный сидеть педикюр работать свекровь явно ненавидеть думать спать обед полдень варить кофе изредка поглядывать монитор фон любимый сериал действительно быт главный враг женский удалёнка «мама завтра задать сделать макет смоленск спичек» вечер «опять макароны давать нибыть вкусненький мочь голубец бабушкин рецепт » коронный «а равно дом сидеть » офис ноутбук телефон интернет мочь малюсенький кухня старый панелька уютный кофейня морской побережье попсовый идеальный начальник удалённый начальник идеальный коллега удалённый коллега снова сплетничать бухгалтерия шеф вызвать «на ковер» равно начальник бухгалтер отдел кадр главное перестать воспринимать работа работа привычный смысл слово делать интересно строить график платить вполне серьёзный деньга работать прийтись причём поначалу достаточно получать месяц тысяча вполне реально далёкий зависеть должный умение начать работать маленький получать офис добиться весьма сложно откуда знать пройти путь «нормальной» работа затяжной декрет месяц удалёнка страх сомнение боязнь обман неуверенность сила остаться борт благодаря опытный наставник звать евгений андриан настоящий гуру удалённый работа чёткий руководство офис декрет сбежать столько народ собрать небольшой город город свободный счастливый человек именно евгений научить настраивать реклама интернет искать заказчик получать деньга сначала небольшой сумма вполне достойный зарплата поверить именно евгений первый опыт пройти долгий путь кровельщик владелец х онлайн бизнес год заниматься контекстный реклама знать подводный камень работать постоянный заказчик позволять семья жить отказывать учиться «сапожник сапогами» согласный второе честность давать начистоту ленивый учить зарабатывать удалённый обещать кайфовыя фриланс бали миллион декрет час работа день третий научить писать текст лев толстой день мягко казаться неубедительный хотеться стряхнуть лапша ухо освоить реальный прикладной навык выполнить получить оплата навык стать настройка реклама интернет нужный талант особый навык достаточно следовать проверить инструкция выполнять конкретный действие получать результат толковый специалист сфера мало заказчик искать заплатить деньга качественный работа понравиться евгений обещать золотой гора работа берег океан хотя знать ребята курс реально переехать остров подкупить честность щедрость полезный информация бесплатный онлайн марафон «специалист интернет рекламе» евгений раскрывать фишка лайфхак удалённый работа давать платный курс начало обучение присылать авторский методичка «технология удалённый заработок интернет рекламе» готовый инструкция открывать читать применять зарабатывать получить пройти ссылка 📌 рассказать подробный обучение интересно слушать курс состоять занятие час домашний задание домашний задание проверка бесплатный курс представлять круто чуткий обратный связь встречать обучалка пройти немало выполнение далее з потребоваться минута ждать курс практика никакой «воды» ложный обещание актуальный информация свежий дать метод работа знакомство профессия «специалист интернет рекламе» понять подходить работа нравиться нравиться стоить продолжать учиться найти первый реальный клиент настроить первый рекламный кампания делать правильно заработать первый деньга тыс руб прям «огий » смешно вспоминать год настройка реклама приносить зарплата пять нуль месяц прийтись потрудиться волшебный таблетка бедность евгений раздавать зато раздавать бесплатный совет поддерживать казаться «ничего понятно» «ничего получается» получаться делать точно знать работа достаточно иметь ноутбук компьютер выход интернет минимум час свободный день никакой продажа вложение впаривания тряпочка кухня месяц работа вполне реально выйти тыс руб месяц подружка «по декрету» работа завербовать пока никто жаловаться особенно кризис каждый копейка счёт сомневаться получиться обучение бесплатный участие переходить ссылка 📌 нажимать кнопка «разрешить» далёкий следовать несложный инструкция промахнуться марафон проходить ссылка выше группа информация встреча удалёнка понравиться,0
2,задуматься пора начать экономить начать мочь экономный поделиться неочевидный совет интересно сколько удаться сэкономить полгода год подслушать,0
3,очередной любимый спросить «я красивый » отвечать подарить портрет ник арт пусть посмотреть заказать портрет,0
4,привет мочь сталкиваться проблема отрастить немного ноготь работа сильно удариться ноготь отойти кожа конец сразу обработать прочитать интернет перемарывать плотно пластырь прирасти назад произойти пойти мастер маникюр снять вче покрытие увидеть ноготь наполовину оторвать воздух мастер посоветовать купить капля ухо ‘кандибиотик’ мол капать ноготь ращ день прирасти иначе мочь навсегда ноготь остаться воздух ноготь палец онихолизис общий сомневаться капля интернет никакой информация капля помочь мочь сталкиваться проблема помочь подслушать,0
5,оплата получение заказ размерный ряд каталог заказ вопрос писать,0
6,кудрявый волос еврей грустно народ откровенно недолюбливать грустно надеяться остаться человек разница национальность религия цвет кожа волос общество далеко полноценный осознание человек должный стараться друг друг добрый подслушать,0
7,недопонимание отношение кот сидеть комп никто трогать подбегать кот хреначить лапа предотвратить абьюз отношение кот подслушать,0
8,студенчество яркий насыщенный спорт соревнование разный город интерес друг подрабатывать учиться театральный школа тд сбыться мечта смотреть телевизор обожать новый знакомство лёгкий подъём щека болеть улыбка день устать слушать большинство прожигать отъезд соревнование увлечение отсутствие муж ребёнок вино занятость отъезд тройка день несколько год якобы любой мужчина каждый день девушка готовить уехать день слишком друг яркий эмоция вне отношение образ унижать мужчина рядом бросать ерунда двое отношение закончиться сперва сопротивляться смотреть подруга выходить замуж рожать начинать верить сторона год счастливый столько увидеть добрый начало задумываться дело правда стать интересный стать противно наедине находиться скучно стыдиться общаться новый человек кадиться интересный нудный хотеться молчать дом неужели стоить связывать плохо анонимно🙏🏼 подслушать,0
9,необходимый помощь год год состоять отношение молодой человек расстояние история долгий ранний казаться супер романтично надолго пандемия приехать город бабушка познакомиться приехать сургут родитель пандемия учиться курс ехать оттуда извинить км видеться месяц лето неделя зимой начинаться новый учебный год й переехать родитель пойти новый школа стать молодой человек ссориться часто сильно ревновать абсолютно школа стать одеваться широта ю×а стать относиться плохо новый год встретиться вроде оба рада снова стать ссориться февраль начать нравиться одноклассник конец март порыв ссора расстаться страдать абсолютно просыпаться невероятно лёгкий чувство начало гулять одноклассник стать встречаться середина апрель уделять внимание цветок дарить школа вместе пить каждый день разговаривать помогать охота крепкий поход смысл приехать город бабушка майский встретиться лп понять мочь первый парень история написать истерика любить взаимно нынешний таки бросить кой сделать объяснить школа встретиться обнять заплакать понимать чувствовать подавленно посоветовать пожалуйста нибыть благодарный подслушать,0
