,phrase
0,"Представьте, что вы живете в... упаси господь, конечно, никому не пожелаю такого... Представьте, что вы живете в Санкт-Петербурге, где солнце бывает раз в год."
1,"2 - тоже положительная оценка. Она показывает, что вы освоили материал на 50%, а это уже успех. "
2,"...Я приведу ещё одно свидетельство, из Стобея. Он говорит, что при жизни духи можно уподобить разным животным, заключенным в клетку. Представим, что у вас в клетках заключены сокол, воробей, черепаха, лисица и, допустим, змея; если вы их выпустите, они сразу все отправятся в разные стороны... Это яркая иллюстрация того, что происходит с душами после смерти.  Другой пример, который мне пришёл в голову, — со школой: прозвенел последний звонок (я тут вспоминаю свой класс, были суровые годы 90-ые) — и пошли выпускники... кто в тюрьму, кто в армию, кто замуж, кто в университет..."
3,Все цены в Чили времен Пиночета задавались рынком. Кроме цен на рабочую силу. Она задавалась пулемётами.
4,Марина Юрьевна пишет задание на доске: «Она стояла на остановке и рыдала…» В аудитории начинают шептаться. 
5,"Извините, что я опять пришла."
6,"Вернёмся к нашим баранам… Хотя какие же они бараны, вернёмся к нашим философам!"
7,"А сейчас я вас отмечу, а то у меня уже склероз, маразм и деменция."
8,"Так во всей экспериментальной психологии, все исследования проводятся на студентах! Сначала крысы, потом студенты, потом люди…"
9,"Дорогие первокурсники, в сравнении с вами сегодня я проснулся слегка пораньше, часов так 28 назад."
10,"Одной частью мозга, теменной, вы думаете, что на диете, а лобная кора ведёт вас к холодильнику. Все просто."
11,"Студент задаёт вопрос. Преподаватель: Как Ваша фамилия? *ищет по списку* Студент: *называет фамилию* П: Ну вот, пока вспоминал Вашу фамилию, забыл шутку, теперь придётся отвечать на вопрос."
12,"Мы все постоянно чувствуем себя маленькими и глупыми и не знаем, когда станем большими и умными…"
13,Ваша поднятая рука стучит в моё сердце.
14,*обсуждаем концепцию строгой ответственности предпринимателя в гражданском праве*
15,"...В нашем опыте нет абсолютно ничего достоверного. Даже то, что мы с вами здесь находимся в одной аудитории, — это не 100 процентов достоверно. Всегда есть маленькая вероятность галлюцинации...    Философский факультет, Фалёв Е.В., «Неоплатонизм эпохи Возрождения»  #Фалёв #философ_мг"
16,"Свобода слова в Древней Греции не заключалась в том, чтобы выйти на Красную площадь и прокричать матерное слово. Это прежде всего было право каждого гражданина принять участие в обсуждении любого вопроса. "
17,"Кафедра древнего мира находится в самом Г... В блоке Г, разумеется. "
18,"В аспирантуре я преподавал на подготовительных курсах, и в группе был один молодой человек. Даниил его звали, никогда не забуду. Он всё время сидел и слушал. Никогда ничего не писал, хотя была тетрадь.  И я однажды не сдержался и спросил: «Даниил, а чего Вы не пишите?» На что он мне честно ответил: «Алексей Александрович, а я записываю только умные мысли... Жемчужины».  Поскольку я не раковина, я решил, что ладно уж, но он не поступит. "
19,"Если вы ходите на лекции по гистологии, читаете Жункейру, то ваш взрослый нейрогенез стимулируется. Следовательно, вы становитесь образованнее, умнее и вообще лучше, потому что гистология, конечно, делает человека прекрасным. "
20,"Самое страшное — это те граждане, которые не хотят участвовать в политической жизни, которым все равно. Вот политическая индифферентность считалась гораздо большим грехом, чем отличающееся политическое убеждение. А вот те граждане, которые не участвовали в политической жизни, их называли «идиотой», то есть «частные лица». Вот их боялись больше всего. "
21,"Я, конечно, понимаю, что вы любите Малевича, но не могли бы вы включить ваши камеры или хотя бы поставить красивую картинку, как у меня. Сейчас покажу (включает, чёрный экран с изображением Ломоносова)... Эх, надо бы худеть, иначе скоро по фигуре буду как Ломоносов."
22,"Пока я ехал к вам в такси, меня любознательный водитель спросил, в чём смысл жизни. Но ехать было всего 20 минут, я не успел рассказать весь смысл жизни, только частично."
23,"Африканские диктатуры появляются практически по одной и той же схеме: президент приходит на демократических началах, потом случайно остается на третий срок, потом меняет под себя конституцию и после двадцати лет правления, задавив полностью оппозицию и независимую прессу, становится полноправным диктатором. Ну, вы знаете, пример все это время у нас перед глазами. Я, разумеется, говорю про президента Камеруна, Поля Бийа."
24,"Вы решаете задачу, в которой нельзя думать, надо выполнять действия. Если вы будете думать, вы уподобитесь Эйлеру: придется жить сложной жизнью, думать о сложных вещах, учиться решать дифференциальные уравнения. Такой подход свойственен творческим людям, а мы к таким не относимся."
25,*Первая очная лекция*
26,"То что мы сейчас проходим, вы никогда больше не прочитаете, я уверена.  А так у вас будут знания. Сможете выпендриться."
27,А я вот не люблю космос и не хотел бы изучать жизнь на других планетах. Ведь там не будет тритонов.
28,В сражении на реке Граник Клит спас Александра. Но потом Александр убил Клита на пирушке. Вывод? Пить вредно. 
29,"Представьте, что вы переезжаете в Америку… а… уже не переезжаете. Тогда представим перелёт в Хабаровск."
30,"Кто уверен, что после осени зима? "
31,С чего начинается Родина? С уравнения диссоциации!
32,"Когда вытираю парту спиртом, мне хочется закусить."
33,"Я теперь боюсь хвалить особей мужского пола, я понял, что от этих похвал они заболевают манией величия. Хвалить можно только женщин, от этого они становятся только красивее."
34,"Главное, желаю счастья в личной жизни! Личная жизнь — это самое важное. Благодаря ей появляются будущие студенты юридического факультета МГУ. "
35,"У преподавателя резко отключается звук на компьютере, спустя пару минут: — Вы меня слышите? — *В чате* Да. — А я вас? ... — ...А вы нас — нет..."
36,"Впервые мобильный телефон у меня появился в 96 году... В 1996 году, не 1896 году!"
37,"Вот у мальчика есть девочка, и он бьет ее портфелем по голове вместо того, чтобы как-то поухаживать, понести этот портфель — это вот проявление реактивного образования."
38,"Я прощу прощения за простоту того, что я сейчас рассказываю."
39,"""Я очень люблю физику. Очень люблю химию. Именно поэтому я стала биологом""."
40,Агроклиматические условия не пропьешь.
41,"Квантовая частица – она как морская свинка: и не свинка, и не морская"
42,Эббингауз назвал свою первую книгу просто: “О памяти”. Сейчас такой номер не пройдёт...
43,"- Почему Эос — девственная заря, если у неё было много любовников?  - Это вопрос к Гесиоду, не ко мне."
44,"*Студенты пытаются понять, как найти розетки для ноутбука*  - О, ещё и интернет отключился…  - А мы просто дверь закрыли."
45,"Сейчас некоторые компании по борьбе с изменением климата постоянно пытаются вовлечь Россию. И для людей, хоть немного представляющих нынешнее положение вещей, это кажется диким! <...> Во-первых, потому что мы самая северная страна. И вот у нас пугают этими страшилками про глобальное потепление, и если бы это на самом деле произошло — мы бы остались только в плюсе. Сколько территорий стало бы пригодным для сельского хозяйства! И люди в северных регионах ходили бы не в шапках-ушанках, а в шортах!"
46,"Извините, пожалуйста, а можете повторить, что Вы сейчас говорили? "
47,"Без примера сейчас сложно, а пример приводить долго."
48,"Как то раз в моей молодости, то есть в прошлом году..."
49,"Когда первый раз слушаешь квантовую механику, кажется, что это бред."
50,"«Вы же уже видели список литературы? Просмотрели, насколько все там плохо?»"
51,Учеба — это дело не пассивное. Вы должны страдать
52,"Психологов, как и разведчиков, бывших не бывает."
53,"Даже на свадьбе можно найти 10 минут, чтобы написать тестирование."
54,"У (Л. Н.) Толстого почти нет юмора, и это проблема."
55,"*Холиков чихает* Студент: Будьте здоровы! Холиков, смеясь: Несколько лет назад мне перед сессией так же пожелали. Я так сильно никогда не болел. Но сессию я всё-таки принял. Умирал, но на экзамен полз. Эту песню не задушишь, не убьешь!"
56,"Все, что говорю я, через меня говорит мир философии. Родзинского здесь нет, здесь есть субстанция философии. "
57,"Вот представьте, что вы пошли в какой-нибудь ашан или перекрёсток, взяли там... Ну не знаю, гречку, консервы какие-то... Что там ещё студенты едят?.. И пошли на кассу."
58,"*девочка на конфе забыла выключить микрофон и сказала, что препод похож на Ленина в Мавзолее*"
59,"Знаете, есть у биологов такая шутка: Учёные доказали, что тараканы могут жить без без головы, но в голове им удобнее…"
60,"П: На следующей неделе увидимся вживую. С: На следующей неделе 23 февраля. П: Ооооо, великий праздник. Те, кто смог откосить от армии поздравляют тех, кому не удалось откосить."
61,Мужчине в жизни нужно волноваться раз — когда первый раз.
62,Вопрос преподавателя модератору дискуссии: 
63,"С: Михаил Николаевич, можно я просто весь учебник вставлю в свой отчет? П: Тебе можно, ты платный студент."
64,"Учи, учи, а дураком помрёшь. Ну вы помрёте, я то нет."
65,"Какая личная жизнь, у вас Евангелие не прочитано!"
66,"Студент: Извините, что было в начале? Преподаватель: Вначале было слово, потом шесть дней творения, и кое-кто ушёл в отпуск. "
67,Ещё 10 лучших цитат за последний год.
68,Сегодня нашему паблику 8 лет! Самые популярные цитаты преподавателей МГУ за последний год:
69,"Камеры включите, пожалуйста. Если вы спите, то я должна это видеть."
70,"«В деревне тоже есть свой центр: дом культуры или хотя бы клуб. А если там есть еще и церковь, то это уже село! Вот вам и центр. Водим хороводы, ходим крестным ходом. Но это же не полис!»"
71,"Запомните! В химии моль - м.р, а насекомое моль - ж.р. Если уж хотите ""моль"" просклонять, то склоняйте, как мужика!"
72,Баба Яга — самодостаточная женщина! Вы когда-нибудь применяли к ней такой эпитет? 
73,"Когда ты разобрался в теме, это, безусловно, приятно. А когда ты разобрался, а потом понял, что это никому не нужно — еще приятнее."
74,"Выбирать нужно не тот билет, который ты хорошо знаешь, а тот, который не знает экзаменатор."
75,"Вы скажете: слишком смелая интерпретация, здесь этого ничего нет. Может быть, нам просто больше слов требуется, чтобы выразить ту же идею. Если они это понимали непосредственно, жили внутри этой картины мира – это все равно что рыбам трудно описать важность воды для них. Так же в Древнем Египте не требовалось много слов, чтобы описать Бога. В Древнем царстве реальность Бога была если не реальностью воды для рыб, то реальностью солнца для всего живого."
76,"У меня сын в Яндекс маркете работает, и последнее время мне не нравится, как Яндекс маркет работает."
77,В нашем курсе надо помнить только одну дату: когда изобрели книгопечатание. И то это неизвестно.
78,"Пошла традиция, что бургомистр должен иметь степень доктора, и тогда её просто покупали. Видимо, наши чиновники тоже об этом где-то читали…"
79,"Современная наука снимает вопрос ""произошли ли мы от обезьяны?"" Расслабьтесь, мы ими и остались. Можете кривляться и обезьянничать, это ваше естественное свойство! "
80,"Биологическая систематика — первое, чем занялся Адам в Раю. "
81,"Ну, главное, чтобы после 14 декабря наступало 14 июля!"
82,"МГУ должен готовить учёных, а не ничтожных жриц маркетинга."
83,"Я какие-то общие вещи говорю, потому что у меня сейчас нет настроения сильно углубляться в это."
84,"Зима — это радость для людей, которые оторваны от реальной жизни."
85,"Мы смотрим на природу России глазами великих поэтов. За Пушкина насмерть замерзали его крестьяне по пути за дровами, а для Пушкина зима — это пора чудес, блестящий снег. Россия — это страшно… — Ну, за рубежом тоже можно умереть (из аудитории). — От чего? От счастья?"
86,*Консультация перед экзаменом*
87,И здесь с Рузвельтом почти не было противоречий. Рузвельт скоро умер.
88,"П: Чем вы хотите заниматься на вашей кафедре? С: Думаю посвятить курсовую связи между перформативным речевым актом Остина и актом высказывания Жака Лакана. П: Знаете, дать кому-нибудь кулаком по лицу — вот и весь ваш речевой акт, а вся эта теория Остина — полное безобразие, в хорошем смысле."
89,"Прежде всего, боярин — воин на коне. Он, по крайней мере, не имел лишнего веса, в отличие от меня..."
90,Очень плохой вам преподаватель попался. Я нифига не успеваю.
91,"*рассказ про большой ускоритель частиц* Была раньше такая группа, ""Ван Дер Грааф Дженератор"" называется, два раза в нашей стране гастролировала. Знаете? Ну не знаете, наверное... Ну так вот, не ходите на ее концерты, потому что она должна была называться ""Ван Дер Грааф Акселератор""."
92,"*вводное занятие в стрелковом клубе* Так, кто у нас тут... Юрфак, почвоведы, ВМК, *пауза* журфааак...  Что-то вас слишком много, обычно на стрельбу один психфак приходит!"
93,"С: Понятно. П: Да ладно, мне и то непонятно!"
94,"Медведя можно накормить сыром камамбер, потому что come on, bear."
95,"Средний класс — это экономически самодостаточные люди. Вы вот нуждаетесь в стипендии, а вот представители среднего класса не нуждаются. Представитель среднего класса содержит себя сам, это первое качество любого гражданина — экономическая самодостаточность, желание экономической независмости. Пока вы студент и живете на стипендию, у вас никакой свободы не будет."
96,"Вы знаете, Эйнштейн как-то сказал про квантовую механику: ""Бог не играет в кости"". Но вы подумайте, если есть Бог, то есть и Дьявол. А он вполне может играть в кости. Да и вообще, я думаю, что квантовая механика — изобретение Дьявола."
97,Из лекции 2017 года
98,Российская социология сейчас занимается анкетоблудием.
99,"- У меня в жизни дедлайнов нет, только на кладбище."
100,"Заберите пожалуйства все ваши вещи и закройте дверцу до ее блокировки, ваш талон больше не действителен"
101,"Это, конечно, вообще детский сад... Правда, с физико-математическим уклоном."
102,"С: показывает работу в Компасе П: ""Очень хорошо сделал, расположил отвратительно."""
103,"98% мужчин любит полных женщин, и только 2% - очень полных! "
104,
105,"- Барскову нужно написать РК1, где Барсков? - Опаздывает - А? - Опаздывает - Не понял - Опаздывает он - Да мне все равно, что он опаздывает! #Обухов #ФН1"
106,"П: Вы академщик? С: Да. П: Ну что, хотите вернуться? С: Да, очень хочу. П: Куда вернуться, в академ?"
107,"Что она хочет? Удалить чертежный лист? Нет, мы ей этого не позволим. #Щеглов #СМ"
108,"С: ""А вы пров..."" П: ""Не проверила! До свидания.""  *Завершает конференцию* #Вергазова #ФН1"
109,Старосту тоже на коленочки поставлю. #ФН
110,"Знаете, как у нас в отечественном производстве: если вы заказали деталь, то вам сначала присылают брак, и смотрят честными голубыми глазами. Если Вы как специалист смогли понять, что деталь бракованная - то Вы настоящий инженер и завод впредь будет вас слушать и присылать нормальные детали."
111,"Про инженерную графику на компьютерах: Вот ваша вторая группа просит компьтеры. Эти компьютеры вас догонят, перегонят и убьют!"
112,"Как то раз пустили одного раба в лабиринт, и сказали, если выберешься, то будешь свободен  Но они не учли, что раб был Бауманцем, долго шел по одной стене и вышел Вот и мы для каждой расчётной схемы напишем все уравнения, и будем долго их решать #Барышников #ФН"
113,"С: *заходит на лекцию в середине пары, на доске новая тема по линалу* П: Заходите, у нас здесь ужас #Гордеева #ФН"
114,"Не каждый анекдот, который я знаю, я могу рассказать на паре! #Красновский #ФН"
115,"П: Кто пойдёт к доске решать задачу? С: *молчание* П: Ну ребят, давайте хоть кто-нибудь. Не хотите к доске - пойдете в военкомат #Гордеева #ФН"
