,phrase,label
0,"Всем привет)Мужики какие у вас секреты не быть скорострелом в любви? У каждого есть секреты по половой жизни, может поделитесь как не быть скорострелом?  #Подслушано_@normilinet",0
1,"ГОЛАЯ ПРАВДА О ЖЕНСКОЙ УДАЛЕНКЕ (9 фактов от Ирины, 45 лет)  Девчонки, вам еще не надоело слушать сказки об удаленной работе? Какие к черту 100 000 в месяц после развода для бывшей домохозяйки? Вот вам 9 правдивых фактов о женской удаленке, о которых вам не расскажут на онлайн-курсах:  1. Кардинально изменить жизнь после 40 — да.  2. Работать в машине, пока ждешь сына из бассейна — да.  3. Ловить сердечный приступ, если в кабинете косметолога не ловит Wi-Fi, а тебе пишет заказчик.  4. Сжечь еду, потому что поставила готовить на плиту и села поработать «на 10 минут» — стабильно раз в неделю.  5. Совмещать приятное с полезным — это сидеть на педикюре и работать.  6. Свекровь явно тебя ненавидит. Думает, что ты спишь до обеда, потом полдня варишь кофе, изредка поглядывая в монитор на фоне любимого сериала. Иногда это действительно так.  7. Быт — главный враг женской удаленки. «Мам, нам на завтра задали сделать макет Смоленска из спичек» (в 9 вечера), «Опять макароны? Давай что-нибудь вкусненькое! Может, голубцы по бабушкиному рецепту?» И коронное: «А что такого? Ты же все равно дома сидишь!»  8. Офис — это там, где есть ты, ноутбук, телефон и интернет. Все. Это может быть малюсенькая кухня в старой панельке, уютная кофейня или морское побережье. Попсово, но это так.  9. Идеальный начальник — это удаленный начальник. Идеальные коллеги — это удаленные коллеги. О чём там снова сплетничают в бухгалтерии? Кого шеф вызвал «на ковер»? Все равно. Ты сама себе начальник, бухгалтер и отдел кадров.  Но самое главное то, что со временем ты перестанешь воспринимать свою работу как работу в привычном смысле слова.  Ты просто делаешь то, что интересно, сама строишь свой график и тебе еще за это платят вполне серьезные деньги.  Но все же работать придется. Причем поначалу достаточно много, и получать ты будешь не 100к в месяц.  Но 30 тысяч вполне реально. А дальше — больше.  Тут все зависит ТОЛЬКО от тебя!  При должном умении со временем ты начнешь работать меньше, а получать больше. Чего в офисе добиться весьма сложно.  Откуда я это знаю?  Я сама прошла путь от «нормальной» работы, затяжного декрета до 100 000 в месяц на удаленке.  Страх, сомнения, боязнь обмана, неуверенность в своих силах — все это было. Но осталось за бортом.  Благодаря опытному наставнику.  Его зовут Евгений Андрианов. Он настоящий гуру удаленной работы!  Под его четким руководством из офиса и декрета сбежало уже столько народу, что из них можно было бы собрать небольшой город. Город свободных и счастливых людей!  Именно Евгений научил меня настраивать рекламу в интернете, искать заказчиков и получать за это деньги.  Сначала небольшие суммы, а потом вполне достойную зарплату.  Почему я поверила именно Евгению?  Первое — это опыт. Он сам прошел долгий путь от кровельщика до владельца 4-х онлайн-бизнесов.  С 2015 года он занимается контекстной рекламой, знает все подводные камни, работает с постоянными заказчиками.  Это позволяет ему и его семье жить, ни в чем себе не отказывая.  Если уж учиться, то у «сапожника с сапогами», согласны?  Второе — это честность.  Давайте начистоту, только ленивый сейчас не учит зарабатывать удаленно!  Одни обещают кайфовый фриланс на Бали, другие — миллионы в декрете за час работы в день, а третьи — научить писать тексты как Лев Толстой за два дня.  Мягко сказать, мне все это казалось неубедительным.  Хотелось стряхнуть лапшу с ушей и освоить реальный прикладной навык, который можно выполнить и получить за это оплату.  Для меня этим навыком стала настройка рекламы в интернете.  Здесь не нужны таланты или какие-то особые навыки. Нет.  Достаточно просто следовать проверенной инструкции, выполнять конкретные действия и получать результат.  Толковых специалистов в этой сфере мало, поэтому заказчики сами ищут, кому бы заплатить деньги за качественную работу.  Мне понравилось, что Евгений не обещал золотых гор и работы на берегу океана (хотя теперь я знаю ребят, которые после его курсов реально переехали на острова).  Подкупила честность и щедрость на полезную информацию.  На БЕСПЛАТНОМ онлайн-марафоне «Специалист по интернет-рекламе» Евгений раскрывает такие фишки и лайфхаки удаленной работы, которые не всегда дают даже на платных курсах!  Еще до начала обучения тебе присылают авторскую PDF-методичку «Технология Удаленного Заработка на Интернет-Рекламе».  Это просто готовая инструкция: открывай — читай — применяй — зарабатывай.  Чтобы ее получить, нужно просто пройти по этой ссылке:  📌 https://vk.com/app6622219_-203464176#themeId=12484&utm_source=vkmarket&utm_medium=adr&utm_campaign=market&utm_content=p44&utm_term=1V  Теперь расскажу подробнее про само обучение. Тебе ведь интересно? Тогда слушай.  Курс состоит из 4 занятий по 1,5 часа. И домашних заданий. Да-да, будут домашние задания с проверкой! На бесплатном курсе. Представляешь, как круто?  Такой чуткой обратной связи я не встречала ни в одной обучалке (а я их прошла немало).  На выполнение Д/З потребуется 10-15 минут.  А вот что еще тебя ждет на курсе:  — 100% практика — никакой «воды» и ложных обещаний;  — 110% актуальная информация — только свежие данные и методы работы;  — знакомство с профессией «специалист по интернет-рекламе»;  — ты поймешь, подходит ли тебе такая работа (нравится — не нравится, стоит продолжать учиться или нет);  — найдешь первых реальных клиентов и настроишь для них свои первые рекламные кампании;  — если все будешь делать правильно, заработаешь первые деньги (5-7 тыс. руб. — для меня когда-то это было прям «огого!»).  Смешно вспоминать об этом через год, когда одна только настройка рекламы приносит мне зарплату с пятью нулями в месяц.  Но для этого пришлось потрудиться, конечно.  Волшебных таблеток от бедности Евгений не раздавал.  Но зато раздавал бесплатные советы, поддерживал, когда казалось, что «ничего не понятно» и «ничего не получается».  Не получается только у тех, кто ничего не делает.  Теперь я это точно знаю.  Для работы достаточно иметь ноутбук или компьютер с выходом в интернет. И минимум два часа свободного времени в день.  Никаких продаж, вложений и впаривания тряпочек для кухни.  Через 1-2 месяца работы вполне реально выйти на 20-30 тыс. руб. в месяц.  Я всех своих подружек «по декрету» уже на эту работу завербовала.  Пока никто не жаловался =)  Особенно сейчас, в кризис, когда каждая копейка на счету.  Так что не сомневайся, у тебя тоже получится!  Тем более, что обучение — БЕСПЛАТНОЕ.  С участием все просто.  Переходи по ссылке:  📌 https://vk.com/app6622219_-203464176#themeId=12484&utm_source=vkmarket&utm_medium=adr&utm_campaign=market&utm_content=p44&utm_term=1V  Нажимай кнопку «Разрешить» и дальше следуй несложным инструкциям.  Не промахнись! Марафон проходит только по ссылке выше. В группе этой информации нет.  До встречи на удаленке.  Тебе понравится!",0
2,"Задумалась о том, что пора начать экономить.   С чего начать? Может кто-то экономный поделиться своими неочевидными советами? Еще интересно, сколько удалось кому сэкономить за полгода/год?  #Подслушано_@normilinet",0
3,"Когда в очередной раз ваша любимая спросит: «Я красивая?», ничего не отвечайте и просто подарите портрет от Ника Арт. Пусть сама посмотрит!  Заказать портрет: vk.me/nika.arts",0
4,"Всем привет Может кто-то сталкивался с такой проблемой Я отрастила немного ногти, и на работе очень сильно ударилась ногтем, он отошел от кожи, но не до конца, я сразу обработала и прочитала в интернете что если перемарывать его плотно пластырем, то все прирастет назад, но ничего не произошло Через время я пошла к своему мастеру маникюра, мы сняли вче покрытие, и увидели что ноготь наполовину оторван, под ним воздух Мастер мне посоветовала купить капли для ушей ‘Кандибиотик’, мол, капай под ноготь 3 раща в день и всё прирастет, иначе у меня может навсегда ноготь так и остаться с воздухом между ногтем и пальцем, онихолизис в общем, но я сомневаюсь в этих каплях, в интернете никакой информации о том что эти капли мне помогут Может кто-то сталкивался с такой проблемой? Что вам помогло?  #Подслушано_@normilinet",0
5,Оплата при получении заказа! Большой размерный ряд  Каталог: https://vk.com/album-64610907_280355941 А для заказа и по всем вопросам пиши: vk.me/defile_2018,0
6,"У  меня кудрявые волосы и я еврей... Очень грустно, что мой народ откровенно недолюбливают, грустно, что я надеялся, что не осталось уже людей которым есть разница до национальности, религии, цвету кожи, волос. Нашему обществу далеко, до полноценного осознания, что все мы люди и все должны стараться быть друг к другу добрее.  #Подслушано_@normilinet",0
7,"Недопонимание в отношениях с котом. Сижу за компом, никого не трогаю, подбегает кот, и хреначит меня лапами. Как предотвратить абьюз в отношениях с котом?  #Подслушано_@normilinet",0
8,"Со студенчества была яркая и насыщенная жизнь, спорт, соревнования в разных городах, много интересов, много друзей, которые и по сейчас со мной, подрабатывала, училась, театральная школа и тд. Сбылась мечта, смотрела себя по телевизору. И обожала новые знакомства, была легка на подъем, щеки болели от улыбок за день.  Но я устала слушать от большинства, что я прожигаю свою жизнь своими отъездами и соревнованиями, своими увлечениями. Что отсутствие мужа и детей в мои 24-это вина моей занятости и отъездов на тройку дней несколько раз в год. Якобы любой мужчина хотел бы видеть КАЖДЫЙ день видеть девушку, а кто же ему будет готовить, если ты уедешь на 2 дня, у тебя слишком много друзей и ярких эмоций вне отношений, таким образом ты унижаешь мужчину рядом с собой. Бросай всю ерунду.  Двое отношений поэтому и закончились. Сперва сопротивлялась, а сейчас смотрю на подруг, которые выходят замуж и рожают, и начинаю в это верить что ли. С другой стороны, я эти 5 лет самая счастливая, столько увидела хорошего и доброго в этой жизни. А как начала задумываться о том, что дело и правда в этом, стала себе не интересна. Стало противно с собой наедине находиться, с собой скучно, стыжусь общаться с новыми людьми, кажусь себе не интересной и нудной, хочется все время молчать у себя дома. Но неужели стоит связывать свою жизнь с тем, кому хорошо от того, что мне плохо..? Анонимно🙏🏼  #Подслушано_@normilinet",0
9,"Необходима помощь Мне 16 лет. 2 года состояла в отношениях с молодым человеком на расстоянии. История долгая, но мне раньше казалось, что это супер романтично и очень надолго. Просто во время пандемии я приехала в город к своей бабушке и там познакомилась с ним. Он же приехал из Сургута к своим родителям на время пандемии. Учился тогда на 1 курсе. Ехать оттуда, извините меня, 1200км. Видимся только 2 месяца летом и неделю зимой. Начинается новый учебный год 21-22й, я переехала с родителями и пошла в новую школу. Стали с молодым человеком ссориться часто, сильно ревновал меня абсолютно ко всем, сказал что в этой школе я стала одеваться как ш/ю×а, стала к нему относится плохо. В новый год встретились. Вроде все хорошо, оба были очень рады. Снова стали ссориться в феврале, мне начал нравиться одноклассник. В конце марта в порыве ссор мы расстались. Я не страдала абсолютно, просыпалась с невероятно лёгким чувством. Начала гулять с одноклассником, стали встречаться в середине апреля. Он уделял мне внимание, цветы дарил, в школе все время вместе. Вот только пьет он каждый день, разговаривали, но не помогает. Для него ,,охота крепкая,, походу как смысл жизни.  Приехала в город к бабушке на майские. Встретилась с лп, и поняла что не могу без первого парня этой всей истории. Написала ему в истерике, сказала что люблю, он сказал что это взаимно, но нынешнего мне всё-таки надо бросить. Кое как я это сделала, ничего не объяснив. В школе встретились сегодня. Обняла его и заплакала. Не понимаю с кем хочу быть, чувствую себя подавленно. Посоветуйте пожалуйста хоть что-нибудь,  буду благодарна  #Подслушано_@normilinet",0
